Wall time,Step,Value
1757736317.1100345,6000000,-171.75631713867188
1757736387.5125432,22800000,-96.75550079345703
1757736495.4062188,49200000,-69.42235565185547
1757736529.8729625,57600000,-66.5188980102539
1757736534.807663,58800000,-67.1698989868164
1757736603.758278,75600000,-62.170372009277344
1757736608.6814861,76800000,-62.64203643798828
1757736628.4118295,81600000,-60.977516174316406
1757736648.102037,86400000,-60.06338882446289
1757736677.7053316,93600000,-59.99656295776367
1757736702.2964916,99600000,-59.88705062866211
1757736736.8250725,108000000,-54.78969955444336
1757736786.3319402,120000000,-51.15401077270508
1757736806.2314777,124800000,-50.64210891723633
1757736825.9853194,129600000,-54.39543533325195
1757736895.3497303,146400000,-44.30530548095703
1757736931.239837,154800000,-38.2438850402832
1757736941.4449754,157200000,-37.583343505859375
1757737013.5116155,174000000,-29.584293365478516
1757737029.0607283,177600000,-27.339553833007812
1757737081.8222997,189600000,-25.172531127929688
1757737097.3576503,193200000,-24.550161361694336
1757737107.6768565,195600000,-23.451826095581055
1757737118.147404,198000000,-23.142921447753906
1757737159.595289,207600000,-20.29509925842285
1757737257.9887755,230400000,-11.681112289428711
1757737323.405055,244800000,-7.009842872619629
1757737334.687668,247200000,-6.64369010925293
1757737380.6282613,256800000,-5.939255714416504
1757737476.675748,276000000,-4.838155746459961
1757737566.1348712,294000000,-4.086519241333008
1757737572.0876293,295200000,-4.01737117767334
1757737650.9294775,310800000,-3.658668279647827
1757737656.8752468,312000000,-3.6557583808898926
1757737729.6916611,326400000,-3.4491987228393555
1757737747.716549,330000000,-3.407733678817749
1757737796.4445665,339600000,-3.3427093029022217
1757737815.1119914,343200000,-3.2771902084350586
1757737877.3395095,355200000,-3.174943685531616
1757738006.914042,380400000,-2.996595621109009
1757738025.477503,384000000,-2.97123646736145
1757738044.1209745,387600000,-2.9215762615203857
1757738192.8409147,416400000,-2.7478671073913574
1757738267.4950387,430800000,-2.7075626850128174
1757738304.9363081,438000000,-2.686641216278076
1757738317.4226825,440400000,-2.6332900524139404
1757738392.3890707,454800000,-2.6477036476135254
1757738442.536966,464400000,-2.6229281425476074
1757738467.659329,469200000,-2.603701591491699
1757738480.2830203,471600000,-2.640509843826294
1757738543.0946398,483600000,-2.59370493888855
1757738555.7203896,486000000,-2.601189613342285
1757738625.423159,499200000,-2.5789577960968018
1757738670.4929018,507600000,-2.583569049835205
1757738759.9213068,524400000,-2.5408895015716553
1757738766.2597358,525600000,-2.534708261489868
1757738778.8157678,528000000,-2.5385043621063232
1757738823.0495634,536400000,-2.435692548751831
1757738919.7904246,554400000,-2.4781105518341064
1757738945.1451592,559200000,-2.3610970973968506
1757739002.1976328,570000000,-2.3980326652526855
1757739008.4826758,571200000,-2.347099542617798
1757739040.1632824,577200000,-2.2961442470550537
1757739046.5043304,578400000,-2.3011834621429443
1757739084.6913383,585600000,-2.2354536056518555
1757739230.9136894,613200000,-2.0658509731292725
1757739243.6669502,615600000,-2.0245752334594727
1757739250.0461,616800000,-2.0197527408599854
1757739256.3911126,618000000,-2.01928448677063
1757739275.5238082,621600000,-2.0095086097717285
1757739288.244647,624000000,-1.9912736415863037
1757739377.7681074,640800000,-1.7971562147140503
1757739384.1817403,642000000,-1.801211953163147
1757739396.9698348,644400000,-1.7564170360565186
1757739409.7645464,646800000,-1.7765400409698486
1757739422.6026497,649200000,-1.7650952339172363
1757739461.0665526,656400000,-1.6592329740524292
1757739499.5971217,663600000,-1.5716296434402466
1757739525.2587757,668400000,-1.6133562326431274
1757739563.8424,675600000,-1.4855419397354126
1757739576.7470446,678000000,-1.3951436281204224
1757739602.4734652,682800000,-1.3000556230545044
1757739744.397311,709200000,-0.7529831528663635
1757739770.1374547,714000000,-0.6267745494842529
1757739783.0208244,716400000,-0.5950154662132263
1757739898.3597555,738000000,0.4219226837158203
1757739955.3602464,748800000,1.2423646450042725
1757739986.9300592,754800000,1.7451965808868408
1757739993.1946583,756000000,1.8827011585235596
1757740043.0824711,765600000,2.9634993076324463
1757740080.2996738,772800000,3.801346778869629
1757740086.6089144,774000000,3.9862358570098877
1757740172.497573,790800000,6.408320426940918
1757740227.0160773,801600000,8.086729049682617
1757740275.2148771,811200000,9.796707153320312
1757740281.2073634,812400000,10.106898307800293
1757740376.8007243,831600000,13.576143264770508
1757740388.661662,834000000,13.939380645751953
1757740547.929146,866400000,17.50602912902832
1757740571.428807,871200000,18.2955265045166
1757740606.6483178,878400000,18.746246337890625
1757740682.657807,894000000,20.126327514648438
1757740799.2160435,918000000,21.956588745117188
1757740863.1512516,931200000,22.902008056640625
1757740868.971855,932400000,23.144229888916016
1757740903.795452,939600000,23.357704162597656
1757740938.6048195,946800000,24.200647354125977
1757741031.140058,966000000,26.815576553344727
1757741036.957399,967200000,26.52858543395996
1757741048.5022457,969600000,26.306066513061523
1757741117.8994908,984000000,27.508953094482422
1757741192.8922079,999600000,28.142147064208984
1757741336.8554053,1029600000,31.055261611938477
1757741388.7271268,1040400000,30.770885467529297
1757741417.6070595,1046400000,31.552709579467773
1757741503.8794808,1064400000,33.17438888549805
1757741567.1462638,1077600000,33.62600326538086
1757741590.0714483,1082400000,33.69981002807617
1757741756.3250158,1117200000,36.24614334106445
1757741767.7799835,1119600000,35.34894561767578
1757741825.1051738,1131600000,36.56905746459961
1757741865.2610207,1140000000,36.878082275390625
1757741945.4890525,1156800000,37.538307189941406
1757742151.3172195,1200000000,39.73068618774414
1757742168.4082685,1203600000,40.09078598022461
1757742179.813262,1206000000,40.73617935180664
1757742244.2229679,1219200000,40.636234283447266
1757742284.2802842,1227600000,40.57809829711914
1757742307.1833959,1232400000,40.3680534362793
1757742318.6497314,1234800000,40.95186233520508
1757742370.1638005,1245600000,42.09851837158203
1757742478.611228,1268400000,43.966434478759766
1757742558.7307115,1285200000,43.66963195800781
1757742564.4285076,1286400000,43.57426452636719
1757742575.8518045,1288800000,43.9188232421875
1757742598.6459715,1293600000,44.107784271240234
1757742651.3149455,1304400000,44.196903228759766
1757742722.504559,1318800000,45.28755569458008
1757742746.0551827,1323600000,45.46835708618164
1757742758.0282872,1326000000,45.34086608886719
1757742775.362538,1329600000,45.65827560424805
1757742786.8802137,1332000000,45.255828857421875
1757742798.4577954,1334400000,46.198020935058594
1757742858.3453047,1346400000,46.943050384521484
1757742881.8686187,1351200000,46.69819641113281
1757742923.2566917,1359600000,46.909854888916016
1757742935.1418853,1362000000,46.94668960571289
1757743007.243281,1376400000,47.268070220947266
1757743036.3554957,1382400000,48.85737228393555
1757743042.170918,1383600000,47.60219955444336
1757743112.6851242,1398000000,47.81819534301758
1757743171.1922138,1410000000,48.83528518676758
1757743182.5011075,1412400000,48.46944046020508
1757743188.1662717,1413600000,48.67600631713867
1757743227.7532003,1422000000,49.468055725097656
1757743278.643282,1432800000,48.84560012817383
1757743284.2993264,1434000000,49.30299758911133
1757743397.1216946,1458000000,49.96686935424805
1757743419.675301,1462800000,50.22952651977539
1757743459.1854873,1471200000,50.876277923583984
1757743577.7295575,1496400000,52.095951080322266
1757743605.911387,1502400000,51.89146423339844
1757743611.5413568,1503600000,52.17317581176758
1757743622.8059564,1506000000,52.33233642578125
1757743639.7486203,1509600000,52.463016510009766
1757743662.3115077,1514400000,52.028961181640625
1757743696.2127593,1521600000,52.732181549072266
1757743718.762782,1526400000,51.965538024902344
1757743746.9484448,1532400000,52.21422576904297
1757743780.7574928,1539600000,52.188819885253906
1757743825.808749,1549200000,51.9974479675293
1757743871.0270119,1558800000,52.448055267333984
1757743916.1163278,1568400000,53.39777755737305
1757743966.8941677,1579200000,53.432769775390625
1757744006.343817,1587600000,53.957088470458984
1757744023.2782028,1591200000,53.843387603759766
1757744028.915157,1592400000,53.731441497802734
1757744136.0818555,1615200000,54.748294830322266
1757744220.4843373,1633200000,54.94783401489258
1757744243.0057735,1638000000,56.16463088989258
1757744304.9070687,1651200000,55.82048034667969
1757744310.5253623,1652400000,56.139835357666016
1757744332.9978895,1657200000,55.9400520324707
1757744541.318673,1701600000,56.355010986328125
1757744659.7547972,1726800000,57.218040466308594
1757744665.4037132,1728000000,56.242244720458984
1757744766.660292,1749600000,57.41482162475586
1757744772.295744,1750800000,57.49643325805664
1757744789.1610482,1754400000,56.74324417114258
1757744862.1690793,1770000000,57.45296096801758
1757744873.4006727,1772400000,57.88202667236328
1757744935.3352547,1785600000,57.309974670410156
1757744952.2201724,1789200000,57.26811218261719
1757744974.7421618,1794000000,58.14392852783203
1757745019.6910045,1803600000,58.22508239746094
1757745058.9994037,1812000000,58.62211608886719
1757745064.6158624,1813200000,58.30669021606445
1757745081.454231,1816800000,57.94224548339844
1757745098.36633,1820400000,57.73495101928711
1757745165.9135346,1834800000,58.69041442871094
1757745222.1566586,1846800000,58.50969314575195
1757745278.421472,1858800000,58.886714935302734
1757745295.2689595,1862400000,59.00893783569336
1757745373.951899,1879200000,59.198097229003906
1757745390.7652793,1882800000,59.65269088745117
1757745418.8923333,1888800000,59.1779670715332
1757745435.768196,1892400000,59.21320724487305
1757745486.4417927,1903200000,59.59922790527344
1757745548.2852182,1916400000,59.70732116699219
1757745576.367042,1922400000,59.81787872314453
1757745587.6274993,1924800000,59.644683837890625
1757745722.2705777,1953600000,59.749263763427734
1757745767.052335,1963200000,60.66196060180664
1757745778.288059,1965600000,60.54334259033203
1757745834.3417125,1977600000,60.30549240112305
1757745873.5741415,1986000000,60.69338607788086
1757745963.2160573,2005200000,60.26841354370117
1757746002.4354796,2013600000,60.70976638793945
1757746013.6270769,2016000000,60.77700424194336
1757746047.1446354,2023200000,61.19879150390625
1757746097.4547267,2034000000,61.5297737121582
1757746142.1192508,2043600000,60.4940071105957
1757746153.4304826,2046000000,60.833919525146484
1757746170.2393386,2049600000,60.967140197753906
1757746187.0157275,2053200000,60.920902252197266
1757746192.6053755,2054400000,61.183311462402344
1757746231.784054,2062800000,61.60536193847656
1757746259.7858355,2068800000,61.46916580200195
1757746298.9589367,2077200000,62.146217346191406
1757746382.9927902,2095200000,61.91604232788086
1757746433.3626847,2106000000,61.83058166503906
1757746550.9170089,2131200000,61.122772216796875
1757746562.1553628,2133600000,61.979209899902344
1757746629.2452788,2148000000,61.69357681274414
1757746646.0384028,2151600000,61.97867965698242
1757746690.8268003,2161200000,61.94846725463867
1757746797.3085015,2184000000,62.37158966064453
1757746953.991392,2217600000,62.79722595214844
1757746976.3483768,2222400000,62.99999237060547
1757747026.7756855,2233200000,62.593563079833984
1757747054.7471986,2239200000,62.98102569580078
1757747065.9222152,2241600000,62.77372360229492
1757747183.4401665,2266800000,63.545921325683594
1757747244.8614597,2280000000,63.98236846923828
1757747261.673789,2283600000,63.88154220581055
1757747295.2804081,2290800000,64.05575561523438
1757747300.8686004,2292000000,63.90277099609375
1757747384.7827673,2310000000,63.25264358520508
1757747390.379075,2311200000,63.3731689453125
1757747451.81049,2324400000,63.54404830932617
1757747474.2021234,2329200000,63.4627571105957
1757747502.2007077,2335200000,63.61101150512695
1757747513.3658857,2337600000,63.71279525756836
1757747586.2084136,2353200000,63.9399528503418
1757747591.7969744,2354400000,63.61784744262695
1757747608.638052,2358000000,63.30222702026367
1757747619.8455372,2360400000,63.16934585571289
1757747681.477346,2373600000,64.6147689819336
1757747692.6714668,2376000000,63.79304885864258
1757747737.3082652,2385600000,64.13101196289062
1757747742.9013255,2386800000,64.10761260986328
1757748201.360924,2485200000,65.05789947509766
1757748251.6943796,2496000000,65.80580139160156
1757748307.6316435,2508000000,65.77131652832031
1757748369.025178,2521200000,65.81967163085938
1757748385.7497597,2524800000,65.7310791015625
1757748419.211987,2532000000,65.74515533447266
1757748447.1060987,2538000000,65.86390686035156
1757748452.711978,2539200000,66.25862121582031
1757748475.0597053,2544000000,65.73739624023438
1757748480.6341174,2545200000,65.840576171875
1757748519.692226,2553600000,66.38522338867188
1757748586.6440887,2568000000,66.10160064697266
1757748753.7747273,2604000000,66.56307983398438
1757748854.1732843,2625600000,66.802978515625
1757748893.148459,2634000000,67.27442169189453
1757748976.711197,2652000000,67.52007293701172
1757749010.1424398,2659200000,67.45610809326172
1757749065.9270833,2671200000,67.56172180175781
1757749127.212292,2684400000,67.56901550292969
1757749143.9042919,2688000000,67.98030090332031
1757749171.7807362,2694000000,67.85423278808594
1757749244.2618873,2709600000,67.8933334350586
1757749377.808698,2738400000,67.69396209716797
1757749511.4691296,2767200000,68.18350982666016
1757749572.634861,2780400000,68.24658966064453
1757749589.2941499,2784000000,68.54856872558594
1757749617.0876827,2790000000,68.41352081298828
1757749661.5209987,2799600000,68.25359344482422
1757749717.1377752,2811600000,69.02540588378906
1757749811.705846,2832000000,69.04630279541016
1757749978.7070663,2868000000,69.20411682128906
1757750001.0654533,2872800000,69.367431640625
1757750006.6357224,2874000000,69.43997955322266
1757750028.9068089,2878800000,69.21839141845703
1757750240.3277938,2924400000,70.22219848632812
1757750268.237457,2930400000,69.9506607055664
1757750340.6319783,2946000000,70.36256408691406
1757750385.2067618,2955600000,70.59101867675781
1757750401.886419,2959200000,70.97161102294922
1757750513.0816994,2983200000,70.79322052001953
1757750557.5278838,2992800000,71.7128677368164
1757750585.3728657,2998800000,71.13996887207031
1757750613.1908963,3004800000,71.11408233642578
1757750691.2496715,3021600000,71.27179718017578
1757750702.3957398,3024000000,71.33033752441406
1757750752.437162,3034800000,71.74374389648438
1757750763.5909388,3037200000,71.29988098144531
1757750808.0827792,3046800000,71.70431518554688
1757750963.9110072,3080400000,71.65738677978516
1757751024.9953892,3093600000,71.7557144165039
1757751030.5490527,3094800000,71.99109649658203
1757751086.0935462,3106800000,72.20878601074219
1757751108.298171,3111600000,71.63876342773438
1757751147.1440122,3120000000,72.10761260986328
1757751186.077914,3128400000,72.42969512939453
1757751258.392697,3144000000,72.75336456298828
1757751302.9068372,3153600000,72.86592102050781
1757751308.4755678,3154800000,72.7848129272461
1757751347.2717838,3163200000,72.73468780517578
1757751369.4786496,3168000000,72.51520538330078
1757751375.0503936,3169200000,72.87836456298828
1757751391.7002792,3172800000,72.24371337890625
1757751497.2894602,3195600000,72.82927703857422
1757751541.7903051,3205200000,72.96044921875
1757751547.3480148,3206400000,72.69762420654297
1757751564.0417747,3210000000,73.08064270019531
1757751603.0518985,3218400000,72.81902313232422
1757751619.703616,3222000000,72.90508270263672
1757751630.8065352,3224400000,73.26170349121094
1757751647.4533517,3228000000,73.00062561035156
1757751669.6425352,3232800000,73.34088897705078
1757751719.4698522,3243600000,73.6331787109375
1757751752.7754395,3250800000,73.50928497314453
1757751780.533603,3256800000,73.79505920410156
1757751802.7376535,3261600000,73.80455780029297
1757751869.390525,3276000000,73.78023529052734
1757751874.9643364,3277200000,74.00045013427734
1757751897.1851125,3282000000,74.0157699584961
1757751924.9335017,3288000000,74.11515045166016
1757751930.49946,3289200000,73.9128646850586
1757751936.0892847,3290400000,74.06748962402344
1757751952.7457154,3294000000,74.37869262695312
1757752002.684013,3304800000,74.33342742919922
1757752008.2254162,3306000000,74.17961883544922
1757752013.8177757,3307200000,74.00745391845703
1757752041.6125982,3313200000,74.20652770996094
1757752069.3288407,3319200000,74.61376953125
1757752085.9655058,3322800000,74.70533752441406
1757752113.9040956,3328800000,74.4773941040039
1757752141.725864,3334800000,74.62167358398438
1757752180.6129177,3343200000,74.70219421386719
1757752330.353334,3375600000,74.6256103515625
1757752452.3875904,3402000000,74.807373046875
1757752474.6595352,3406800000,74.7828369140625
1757752507.957201,3414000000,74.73314666748047
1757752546.878692,3422400000,74.88312530517578
1757752602.294314,3434400000,75.2220230102539
1757752607.8608172,3435600000,75.1779556274414
1757752713.2473445,3458400000,75.27266693115234
1757752768.7308798,3470400000,75.4881820678711
1757752779.8419752,3472800000,75.4557876586914
1757752918.6286664,3502800000,75.42739868164062
1757752935.284664,3506400000,75.60359191894531
1757753007.3796914,3522000000,75.63768768310547
1757753107.376219,3543600000,75.77242279052734
1757753123.9956293,3547200000,75.8969955444336
1757753162.821333,3555600000,75.82620239257812
1757753179.490464,3559200000,75.78337097167969
1757753223.9654558,3568800000,75.9718017578125
1757753296.0813115,3584400000,75.97483825683594
1757753351.6156025,3596400000,75.91563415527344
1757753368.3068714,3600000000,75.87184143066406
1757753384.976314,3603600000,75.95637512207031
1757753479.3853672,3624000000,75.92774200439453
1757753562.8825803,3642000000,75.87992095947266
1757753635.1942003,3657600000,75.910400390625
1757753835.1991842,3700800000,76.39321899414062
1757753840.7524812,3702000000,76.43453979492188
1757753907.366712,3716400000,76.01065063476562
1757753946.233123,3724800000,76.46025848388672
1757753951.774451,3726000000,76.47759246826172
1757753957.3107626,3727200000,76.34638214111328
1757753990.6850388,3734400000,76.48243713378906
1757754012.9190614,3739200000,76.03438568115234
1757754035.1764321,3744000000,76.23138427734375
1757754040.7400978,3745200000,76.32901000976562
1757754046.3093646,3746400000,76.49190521240234
1757754074.1030872,3752400000,76.37993621826172
1757754085.205035,3754800000,76.43499755859375
1757754179.713635,3775200000,76.53883361816406
1757754335.7504635,3808800000,76.29777526855469
1757754363.5643005,3814800000,76.57232666015625
1757754430.2597475,3829200000,76.46089935302734
1757754441.3671029,3831600000,76.19448852539062
1757754480.2741628,3840000000,76.25402069091797
1757754508.0915565,3846000000,76.3725814819336
1757754574.7935386,3860400000,76.35311889648438
1757754580.3525925,3861600000,76.5051040649414
1757754596.9856827,3865200000,76.34928131103516
1757754608.074779,3867600000,76.5534439086914
1757754646.9581184,3876000000,76.4283218383789
1757754713.7034633,3890400000,76.53486633300781
1757754724.8363364,3892800000,76.55789947509766
1757754847.0810084,3919200000,76.49384307861328
1757754863.772412,3922800000,76.54972076416016
1757755030.7419498,3958800000,76.48255920410156
1757755075.2904704,3968400000,76.69497680664062
1757755264.6448615,4009200000,76.70594024658203
1757755353.5394948,4028400000,76.77630615234375
1757755403.6459193,4039200000,76.63641357421875
1757755442.5683312,4047600000,76.56575012207031
1757755453.674854,4050000000,76.91668701171875
1757755470.3541481,4053600000,76.71710968017578
1757755481.4896348,4056000000,76.7542724609375
1757755509.3124905,4062000000,76.57643127441406
1757755514.873062,4063200000,76.7155532836914
1757755559.35501,4072800000,76.6932373046875
1757755620.49551,4086000000,76.87886810302734
1757755698.2769263,4102800000,76.73240661621094
1757755720.4816213,4107600000,76.83914184570312
1757755742.6952887,4112400000,76.71356964111328
1757755787.1458337,4122000000,76.6309814453125
1757755814.9579487,4128000000,76.7935791015625
1757755937.1381996,4154400000,76.54072570800781
1757755976.0372415,4162800000,76.80963134765625
1757756053.7953894,4179600000,77.02257537841797
1757756059.3676977,4180800000,76.88280487060547
1757756064.9341168,4182000000,76.87686157226562
1757756070.4929652,4183200000,76.87547302246094
1757756103.820194,4190400000,76.83919525146484
1757756114.936443,4192800000,76.72116088867188
1757756153.8052132,4201200000,76.83863830566406
1757756170.4901848,4204800000,76.7574691772461
1757756231.7059004,4218000000,76.94073486328125
1757756298.406969,4232400000,77.00511932373047
1757756398.533581,4254000000,77.23371124267578
1757756431.97954,4261200000,76.86735534667969
1757756476.4585629,4270800000,76.9966049194336
1757756520.9970725,4280400000,76.86064147949219
1757756537.6792958,4284000000,76.896484375
1757756576.547265,4292400000,77.05785369873047
1757756637.6892347,4305600000,77.08306884765625
1757756643.250147,4306800000,77.18254089355469
1757756709.9086332,4321200000,77.20956420898438
1757756782.132734,4336800000,77.08406829833984
1757756787.7001266,4338000000,77.18592071533203
1757756793.265592,4339200000,77.07395935058594
1757756798.8292778,4340400000,77.23717498779297
1757756876.5568814,4357200000,77.01351928710938
1757757009.8671408,4386000000,77.1070556640625
1757757026.5172958,4389600000,77.12387084960938
1757757037.6516774,4392000000,77.3193588256836
1757757048.7333405,4394400000,77.2209701538086
1757757065.373953,4398000000,77.11322784423828
1757757087.5316322,4402800000,77.13493347167969
1757757104.187344,4406400000,77.26508331298828
1757757109.7430441,4407600000,77.1421890258789
1757757209.852174,4429200000,77.065673828125
1757757265.574757,4441200000,77.356201171875
1757757332.2988198,4455600000,77.3095703125
1757757360.1237817,4461600000,77.36148834228516
1757757443.5653253,4479600000,77.35875701904297
1757757515.8666542,4495200000,77.1977310180664
1757757521.4076345,4496400000,77.21713256835938
1757757532.5408564,4498800000,76.94595336914062
1757757538.1262293,4500000000,77.07933807373047
1757757554.855829,4503600000,77.20903015136719
1757757560.3958464,4504800000,77.38742065429688
1757757565.9571714,4506000000,77.3131332397461
1757757604.9613214,4514400000,77.25758361816406
1757757616.061339,4516800000,77.24755859375
1757757710.6579669,4537200000,77.49351501464844
1757757721.7354236,4539600000,77.42169189453125
1757757727.2830036,4540800000,77.43338012695312
1757757749.5124488,4545600000,77.43777465820312
1757757766.1956208,4549200000,77.38337707519531
1757757894.1178691,4576800000,77.49481964111328
1757757949.6919265,4588800000,77.43002319335938
1757758088.6234357,4618800000,77.70515441894531
1757758099.7299228,4621200000,77.47270202636719
1757758155.4120235,4633200000,77.69608306884766
1757758205.4815507,4644000000,77.51777648925781
1757758222.172693,4647600000,77.73665618896484
1757758388.971393,4683600000,77.56510925292969
1757758439.0349822,4694400000,77.60936737060547
1757758461.2660532,4699200000,77.53365325927734
1757758494.6076071,4706400000,77.84386444091797
1757758550.2231166,4718400000,77.60150909423828
1757758561.3059838,4720800000,77.64533996582031
1757758577.9856622,4724400000,77.49325561523438
1757758672.6210465,4744800000,77.57716369628906
1757758694.8619752,4749600000,77.73627471923828
1757758744.944367,4760400000,77.6323013305664
1757758795.1010866,4771200000,77.58972930908203
1757758828.4931169,4778400000,77.65665435791016
1757758856.3301942,4784400000,77.70105743408203
1757758978.7999911,4810800000,77.51271057128906
